accuracy,dataset_name,model,model_name,time
0.826425788169,20ng-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,278.648499012
0.761069783918,20ng-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,275.027013063
0.772759475735,20ng-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,270.388189077
0.916483516484,r52-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.162640095
0.919413919414,r52-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,132.535161018
0.91684981685,r52-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.431805134
0.916483516484,r52-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,132.210560083
0.928205128205,r52-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.722702026
0.915750915751,r52-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,132.130008221
0.897435897436,r52-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.030499935
0.89010989011,r52-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,133.391875982
0.961788970908,r8-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.201042891
0.965262700825,r8-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,112.099357843
0.963960052106,r8-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.485208035
0.959183673469,r8-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,112.86845088
0.957446808511,r8-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.445042849
0.951801997395,r8-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,112.92108798
0.953973078593,r8-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.769633055
0.95831524099,r8-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,113.262109995
0.900079936051,webkb-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,65.3984291553
0.882494004796,webkb-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,63.7139151096
accuracy,dataset_name,model,model_name,time
0.845404639632,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,320.465688944
0.850008854259,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,275.442100048
0.831769080928,20ng-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,316.878624916
0.826810695945,20ng-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,276.249958992
0.833156216791,20ng-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,278.530175924
0.826425788169,20ng-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,278.648499012
0.755224938009,20ng-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,279.372409105
0.758767268863,20ng-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,277.927096844
0.916483516484,r52-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.162640095
0.919413919414,r52-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,132.535161018
0.932967032967,r52-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,136.049112082
0.907692307692,r52-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,136.117907047
0.928205128205,r52-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.722702026
0.915750915751,r52-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,132.130008221
0.899267399267,r52-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,136.403770924
0.89304029304,r52-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,139.262863874
0.961788970908,r8-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.201042891
0.965262700825,r8-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,112.099357843
0.953104646114,r8-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,116.456754208
0.962657403387,r8-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.28401494
0.957446808511,r8-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.445042849
0.951801997395,r8-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,112.92108798
0.950933564915,r8-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.531844139
0.961354754668,r8-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,115.278954029
0.900079936051,webkb-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,65.3984291553
0.882494004796,webkb-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.2, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,63.7139151096
